neighbors,id,roc_auc,accuracy,distancia
5,1,0.7400369965293544,0.7990115321252059,chebyshev
5,2,0.7363585902194512,0.7931705855923319,chebyshev
5,3,0.7447751501995057,0.8099445858918676,chebyshev
5,4,0.7402632515928262,0.7991612999850232,chebyshev
5,5,0.7361879183869804,0.7997603714242923,chebyshev
11,1,0.773141046736322,0.8088962108731467,chebyshev
11,2,0.7682477837530175,0.8100943537516849,chebyshev
11,3,0.7761626923283751,0.8124906395087614,chebyshev
11,4,0.7788637295654804,0.8120413359293096,chebyshev
11,5,0.7648527682245487,0.8085966751535121,chebyshev
17,1,0.7818869632590475,0.8153362288452898,chebyshev
17,2,0.7859775411887098,0.8150366931256552,chebyshev
17,3,0.779430704674694,0.8147371574060207,chebyshev
17,4,0.7818869632590475,0.8153362288452898,chebyshev
17,5,0.7859775411887098,0.8150366931256552,chebyshev
23,1,0.7823845077911566,0.8144376216863861,chebyshev
23,2,0.7874693447185387,0.8193799610603565,chebyshev
23,3,0.79170533256327,0.8181818181818182,chebyshev
23,4,0.7823845077911566,0.8144376216863861,chebyshev
23,5,0.7874693447185387,0.8193799610603565,chebyshev
30,1,0.7914065273294436,0.8162348360041936,chebyshev
30,2,0.7864155702644724,0.8166841395836454,chebyshev
30,3,0.7878390451166859,0.8208776396585293,chebyshev
30,4,0.7914065273294436,0.8162348360041936,chebyshev
30,5,0.7864155702644724,0.8166841395836454,chebyshev
5,1,0.7376479949730472,0.803804103639359,euclidean
5,2,0.7457689767405404,0.8011082821626478,euclidean
5,3,0.7452020016816011,0.8063501572562528,euclidean
5,4,0.7376479949730472,0.803804103639359,euclidean
5,5,0.7457689767405404,0.8011082821626478,euclidean
11,1,0.7736346813208689,0.8160850681443762,euclidean
11,2,0.7771459642548207,0.8186311217612701,euclidean
11,3,0.7802507529651136,0.8163846038640108,euclidean
11,4,0.7736346813208689,0.8160850681443762,euclidean
11,5,0.7771459642548207,0.8186311217612701,euclidean
17,1,0.7925654341998507,0.8202785682192602,euclidean
17,2,0.7885110233931149,0.8147371574060207,euclidean
17,3,0.789727934545875,0.8208776396585293,euclidean
17,4,0.7925654341998507,0.8202785682192602,euclidean
17,5,0.7885110233931149,0.8147371574060207,euclidean
23,1,0.7963086556629132,0.8240227647146923,euclidean
23,2,0.7993702084494202,0.822824621836154,euclidean
23,3,0.7961847037160241,0.8178822824621836,euclidean
23,4,0.7963086556629132,0.8240227647146923,euclidean
23,5,0.7993702084494202,0.822824621836154,euclidean
30,1,0.8035665267078598,0.8202785682192602,euclidean
30,2,0.8012703672906594,0.8238729968548749,euclidean
30,3,0.8042675914559358,0.8202785682192602,euclidean
30,4,0.8035665267078598,0.8202785682192602,euclidean
30,5,0.8012703672906594,0.8238729968548749,euclidean
5,1,0.723754093190317,0.7987119964055713,hamming
5,2,0.7372518525115316,0.7961659427886776,hamming
5,3,0.7390012443113144,0.8035045679197245,hamming
5,4,0.723754093190317,0.7987119964055713,hamming
5,5,0.7372518525115316,0.7961659427886776,hamming
11,1,0.772091456071164,0.8189306574809045,hamming
11,2,0.7611537680624019,0.811741800209675,hamming
11,3,0.7725248769576116,0.8097948180320503,hamming
11,4,0.772091456071164,0.8189306574809045,hamming
11,5,0.7611537680624019,0.811741800209675,hamming
17,1,0.7868164566411457,0.8121911037891268,hamming
17,2,0.7844576439778412,0.8226748539763367,hamming
17,3,0.7709791636182024,0.817582746742549,hamming
17,4,0.7868164566411457,0.8121911037891268,hamming
17,5,0.7844576439778412,0.8226748539763367,hamming
23,1,0.7789218454446647,0.8181818181818182,hamming
23,2,0.7961130654121887,0.8135390145274825,hamming
23,3,0.7875994219868675,0.8183315860416355,hamming
23,4,0.7789218454446647,0.8181818181818182,hamming
23,5,0.7961130654121887,0.8135390145274825,hamming
30,1,0.7902571585721595,0.820727871798712,hamming
30,2,0.7870297796732724,0.8178822824621836,hamming
30,3,0.7968291865189023,0.8118915680694923,hamming
30,4,0.7902571585721595,0.820727871798712,hamming
30,5,0.7870297796732724,0.8178822824621836,hamming
5,1,0.7470268794250077,0.8029054964804553,pearson_correlation
5,2,0.7427464700838492,0.8030552643402725,pearson_correlation
5,3,0.743925854035917,0.8008087464430134,pearson_correlation
5,4,0.7470268794250077,0.8029054964804553,pearson_correlation
5,5,0.7427464700838492,0.8030552643402725,pearson_correlation
11,1,0.7802710166145875,0.8145873895462034,pearson_correlation
11,2,0.7756398989991592,0.8177325146023663,pearson_correlation
11,3,0.7762620331603832,0.817582746742549,pearson_correlation
11,4,0.7802710166145875,0.8145873895462034,pearson_correlation
11,5,0.7756398989991592,0.8177325146023663,pearson_correlation
17,1,0.7887014317414469,0.8190804253407219,pearson_correlation
17,2,0.7912366604328637,0.8136887823872997,pearson_correlation
17,3,0.7861005974660733,0.8136887823872997,pearson_correlation
17,4,0.7887014317414469,0.8190804253407219,pearson_correlation
17,5,0.7912366604328637,0.8136887823872997,pearson_correlation
23,1,0.7963452678120064,0.8169836753032799,pearson_correlation
23,2,0.7948843568509792,0.821776246817433,pearson_correlation
23,3,0.7994709248062113,0.8208776396585293,pearson_correlation
23,4,0.7963452678120064,0.8169836753032799,pearson_correlation
23,5,0.7948843568509792,0.821776246817433,pearson_correlation
30,1,0.8007495410249955,0.8223753182567021,pearson_correlation
30,2,0.8021653888768109,0.8183315860416355,pearson_correlation
30,3,0.7982412418691577,0.8237232289950577,pearson_correlation
30,4,0.8007495410249955,0.8223753182567021,pearson_correlation
30,5,0.8021653888768109,0.8183315860416355,pearson_correlation
