neighbors,id,num_of_knns <- num_of_knns,roc_auc,accuracy
1,1,10,0.7039989758472833,0.7814886925265838
1,2,10,0.7044085047440585,0.7853826568818332
1,3,10,0.7067886162151793,0.7790924067695073
1,4,10,0.7138210399419818,0.7783435674704209
1,5,10,0.6991121603462739,0.7732514602366333
3,1,10,0.7556108555180515,0.8180320503220009
3,2,10,0.7512383586536792,0.8096450501722331
3,3,10,0.7553907766025879,0.8130897109480305
3,4,10,0.7530072178524605,0.8054515500973491
3,5,10,0.7527836088603804,0.8066496929758874
5,1,10,0.775359901897384,0.8190804253407219
5,2,10,0.7699106144030938,0.8111427287704058
5,3,10,0.7865422166876869,0.8153362288452898
5,4,10,0.7724072331310659,0.8294144076681145
5,5,10,0.7655631837042626,0.8181818181818182
7,1,10,0.7802947495106892,0.8190804253407219
7,2,10,0.780010138207385,0.8181818181818182
7,3,10,0.7969339463078167,0.8238729968548749
7,4,10,0.7711083374129623,0.8187808896210873
7,5,10,0.7818418172708356,0.8160850681443762
1,1,40,0.7198216202060114,0.7795417103489591
1,2,40,0.7270015206868905,0.7846338175827468
1,3,40,0.7294749095254888,0.7912236034147072
1,4,40,0.7306840868766807,0.7862812640407368
1,5,40,0.7259151500757058,0.769956567320653
3,1,40,0.7520715497100361,0.8056013179571664
3,2,40,0.7596215013581453,0.8109929609105886
3,3,40,0.7567976133108988,0.8087464430133293
3,4,40,0.7623648382127853,0.8172832110229145
3,5,40,0.7515682398171337,0.8045529429384454
5,1,40,0.7731128394688382,0.8201288003594429
5,2,40,0.7878687859591241,0.8240227647146923
5,3,40,0.7677202395680364,0.814886925265838
5,4,40,0.7849759062237743,0.8213269432379812
5,5,40,0.7671544701065325,0.8213269432379812
7,1,40,0.7758485972301458,0.8141380859667515
7,2,40,0.7887946947435251,0.8216264789576156
7,3,40,0.7808857175227154,0.8261195147521342
7,4,40,0.7882394776683354,0.8114422644900404
7,5,40,0.7848422725335645,0.827617193350307
1,1,70,0.7291457448828312,0.7850831211621986
1,2,70,0.7395918745993489,0.7874794069192751
1,3,70,0.73109744125037,0.7865807997603714
1,4,70,0.7388400631620431,0.7915231391343418
1,5,70,0.731453795690405,0.7891268533772653
3,1,70,0.7727450102095994,0.816534371723828
3,2,70,0.7641262135303617,0.8050022465178973
3,3,70,0.7665773688524061,0.8138385502471169
3,4,70,0.7432555412506965,0.8081473715740602
3,5,70,0.7664524881292525,0.8070989965553392
5,1,70,0.7842472210309896,0.8238729968548749
5,2,70,0.7749797289408599,0.8129399430882133
5,3,70,0.7888812209994314,0.8249213718735959
5,4,70,0.7825719886036169,0.8249213718735959
5,5,70,0.7714853743442782,0.8135390145274825
7,1,70,0.7930885595203208,0.8310618541261046
7,2,70,0.7864153256864057,0.8231241575557885
7,3,70,0.7813241280572892,0.8202785682192602
7,4,70,0.7883962835900338,0.8205781039388947
7,5,70,0.7849397510560331,0.8274674254904898
1,1,100,0.7286444437213944,0.7856821926014678
1,2,100,0.7344569975005809,0.7897259248165344
1,3,100,0.7315301186632813,0.7859817283211022
1,4,100,0.7304229085688554,0.7786431031900554
1,5,100,0.7423883412019301,0.7924217462932455
3,1,100,0.761027868740536,0.8151864609854725
3,2,100,0.7603678746854626,0.8129399430882133
3,3,100,0.770733470654543,0.8130897109480305
3,4,100,0.7661537861231918,0.8096450501722331
3,5,100,0.7657464527331375,0.8114422644900404
5,1,100,0.7660373437285619,0.8180320503220009
5,2,100,0.7856887897683559,0.8219260146772502
5,3,100,0.7840200234295572,0.8229743896959713
5,4,100,0.7759065620363079,0.8135390145274825
5,5,100,0.7741843214240247,0.8210274075183466
7,1,100,0.793835175541979,0.8256702111726824
7,2,100,0.7844831602929315,0.8220757825370676
7,3,100,0.791535409537087,0.8253706754530478
7,4,100,0.781378810434873,0.8237232289950577
7,5,100,0.7914008373216792,0.8262692826119514
