neighbors,id,num_of_knns,roc_auc,accuracy
1,1,10,0.7418044311138711,0.6880335480005991
1,2,10,0.7404362237198567,0.6745544406170436
1,3,10,0.7503173366024962,0.6865358694024263
1,4,10,0.7513474100509224,0.6899805301782238
1,5,10,0.7405063963198664,0.6788977085517448
3,1,10,0.7950712895731542,0.7293694773101692
3,2,10,0.7921351357245343,0.7283211022914483
3,3,10,0.7948224534980087,0.7272727272727273
3,4,10,0.7826820241732639,0.7184364235435076
3,5,10,0.7961670441045575,0.7347611202635914
5,1,10,0.808579931305334,0.7446457990115322
5,2,10,0.8010998066236408,0.7407518346562828
5,3,10,0.8041811032853265,0.7435974239928111
5,4,10,0.8101768451347301,0.749887674105137
5,5,10,0.8087476665719063,0.7489890669462334
7,1,10,0.8162250123590234,0.750936049123858
7,2,10,0.8052165869481108,0.7410513703759173
7,3,10,0.8155000508781349,0.7495881383855024
7,4,10,0.8113697297297298,0.7462932454695222
7,5,10,0.8059327494097035,0.7344615845439568
1,1,40,0.7609949099099099,0.6782986371124756
1,2,40,0.7578195647626497,0.6811442264490041
1,3,40,0.7590797738239713,0.6824921371873596
1,4,40,0.7554753594597671,0.6811442264490041
1,5,40,0.7582216425189527,0.6788977085517448
3,1,40,0.7909391252232396,0.7274224951325445
3,2,40,0.7986502343715499,0.7419499775348211
3,3,40,0.8004612377770276,0.7364085667215815
3,4,40,0.7989941972920697,0.7379062453197544
3,5,40,0.799332841443612,0.7403025310768309
5,1,40,0.8066547373156547,0.7432978882731766
5,2,40,0.8105163322493631,0.7467425490489741
5,3,40,0.8080480953939154,0.7394039239179272
5,4,40,0.797851837016749,0.7412011382357346
5,5,40,0.807048396706749,0.7444960311517148
7,1,40,0.8134054046955019,0.7471918526284259
7,2,40,0.8186828875853731,0.7578253706754531
7,3,40,0.8151494481565252,0.751984424142579
7,4,40,0.8102116040365188,0.7471918526284259
7,5,40,0.815628220167076,0.7510858169836753
1,1,70,0.7627990969025706,0.6768009585143029
1,2,70,0.759459045058035,0.6771004942339374
1,3,70,0.7654919789454536,0.6808446907293695
1,4,70,0.7679961269378617,0.6835405122060806
1,5,70,0.7592302745102284,0.6800958514302831
3,1,70,0.7934943429695825,0.7347611202635914
3,2,70,0.7986302917861663,0.7371574060206679
3,3,70,0.7900726963091327,0.7346113524037742
3,4,70,0.7946870757223915,0.7347611202635914
3,5,70,0.7978277422497709,0.7365583345813989
5,1,70,0.806101805273819,0.7418002096750037
5,2,70,0.8052186841006792,0.7391043881982926
5,3,70,0.8032602349380118,0.7419499775348211
5,4,70,0.8201476364217442,0.755728620638011
5,5,70,0.8110352471383557,0.7432978882731766
7,1,70,0.8125794501373556,0.7503369776845888
7,2,70,0.8175573046119856,0.7507862812640408
7,3,70,0.8164870500233418,0.7524337277220309
7,4,70,0.8069030040529229,0.7409016025161
7,5,70,0.8282358935305084,0.7590235135539913
1,1,100,0.7723795108777779,0.6856372622435225
1,2,100,0.7598323825480323,0.677400029953572
1,3,100,0.7604384746704852,0.6778493335330238
1,4,100,0.7616949367102323,0.6826419050471769
1,5,100,0.7539729929591571,0.6748539763366781
3,1,100,0.7915548852381347,0.7326643702261495
3,2,100,0.7979668050840608,0.7364085667215815
3,3,100,0.79061275045103,0.7316159952074285
3,4,100,0.7947330866712495,0.7374569417403025
3,5,100,0.7939450611423408,0.7317657630672457
5,1,100,0.803850740704547,0.7367081024412161
5,2,100,0.8101223986840658,0.745095102590984
5,3,100,0.8104806732200726,0.7449453347311666
5,4,100,0.8127673106113495,0.7503369776845888
5,5,100,0.8067606507007239,0.7397034596375618
7,1,100,0.8168318395138928,0.749887674105137
7,2,100,0.8217934724671624,0.7558783884978284
7,3,100,0.8115029678990092,0.7470420847686087
7,4,100,0.8247496026906161,0.755129549198742
7,5,100,0.8085732952358232,0.7477909240676951
